## Dataset

Sample (300 rows) from Kaggle Credit Card Transactions dataset.

Full source:[https://www.kaggle.com/datasets/thedevastator/analyzing-credit-card-spending-habits-in-india]


transaction_id,city,transaction_date,card_type,exp_type,gender,amount
25753,Kolkata,23-Feb-15,Gold,Travel,M,137905
25754,Chennai,16-Aug-14,Platinum,Travel,M,198706
25755,Surat,6-Dec-13,Platinum,Travel,M,114107
25756,Chennai,1-May-14,Silver,Travel,F,138545
25757,Jaipur,20-Jul-14,Platinum,Travel,F,62670
25758,Jaipur,1-Apr-15,Silver,Travel,F,217637
25759,Surat,6-Dec-13,Signature,Travel,M,18951
25760,Hyderabad,24-Nov-14,Platinum,Travel,F,265238
25761,Jaipur,22-Sep-14,Silver,Travel,M,277509
25762,Hyderabad,20-Nov-13,Gold,Travel,M,212167
25763,Lucknow,5-Nov-14,Signature,Travel,F,138927
25764,Jaipur,5-Feb-15,Gold,Travel,M,174960
25765,Chennai,22-Jun-14,Signature,Travel,M,147972
25766,Kanpur,26-Mar-14,Silver,Travel,M,16450
25767,Lucknow,3-Aug-14,Signature,Travel,F,293716
25768,Chennai,11-Mar-14,Silver,Travel,F,5769
25769,Jaipur,19-Dec-13,Platinum,Travel,F,256386
25770,Jaipur,27-Feb-15,Silver,Travel,F,294370
25771,Pune,22-Jan-14,Silver,Travel,F,257810
25772,Kolkata,20-Nov-13,Platinum,Travel,F,201962
25773,Hyderabad,19-Jan-14,Silver,Travel,M,258307
25774,Lucknow,17-May-15,Silver,Travel,F,299618
25775,Chennai,24-Feb-15,Silver,Travel,M,32220
25776,Kanpur,12-May-15,Gold,Travel,F,3577
25777,Lucknow,13-Jun-14,Silver,Travel,M,243017
25778,Hyderabad,21-Mar-15,Gold,Travel,M,1200
25779,Chennai,14-Nov-14,Gold,Travel,M,73818
25780,Kanpur,26-Feb-15,Gold,Travel,M,88167
25781,Lucknow,1-Apr-15,Platinum,Travel,M,211919
25782,Pune,15-Jun-14,Gold,Travel,F,235673
25783,Kolkata,22-Nov-13,Signature,Travel,F,209450
25784,Surat,18-Dec-14,Silver,Travel,M,271499
25785,Kolkata,28-Oct-14,Signature,Travel,F,279818
25786,Kolkata,30-Mar-14,Platinum,Travel,M,136455
25787,Kolkata,15-Oct-14,Gold,Travel,F,168607
25788,Hyderabad,5-Mar-14,Signature,Travel,M,68242
25789,Kolkata,2-Jul-14,Gold,Travel,F,184456
